Name,Age,Score,Group
Benjamin Frost,18.0,70.7,"Sports Club, Cultural Club, Coding Club"
Ravi,23.0,73.59,"Entrepreneurship Cell, Robotics, Coding Club"
Ashley Hicks,23.0,83.07,Sports Club
Dawn Little,20.0,81.67,"Entrepreneurship Cell, Robotics, Sports Club"
David Reese,21.0,63.31,"Sports Club, Robotics, Entrepreneurship Cell"
Kurt Hurley,22.0,64.94,"Cultural Club, Coding Club"
Rhonda Martinez,19.0,75.54,"Sports Club, Literary Society"
Matthew Sweeney,22.0,66.5,"Cultural Club, Sports Club"
Jose Griffin,19.0,86.73,Sports Club
Priya,19.0,85.45,"Robotics, Literary Society"
Divya,21.0,71.65,"Cultural Club, Robotics, Literary Society"
Anita,21.0,90.54,"Coding Club, Literary Society, Entrepreneurship Cell"
Manuel Mccullough,20.0,73.64,"Coding Club, Entrepreneurship Cell, Literary Society"
Jennifer Velasquez,20.0,80.37,"Literary Society, Coding Club, Robotics"
Vikram,21.0,79.1,Cultural Club
Richard Hunt,18.0,61.91,"Coding Club, Robotics, Sports Club"
Bryan Rhodes,23.0,98.79,Literary Society
Rakhi,21.0,67.47,"Literary Society, Entrepreneurship Cell"
Kavya,21.0,86.43,"Literary Society, Coding Club, Robotics"
Anil,18.0,75.04,"Cultural Club, Sports Club, Robotics"
Kavya,20.0,62.68,Robotics
Jason Hayes,20.0,60.72,"Sports Club, Robotics, Literary Society"
Michele Williams,19.0,79.11,"Sports Club, Literary Society, Coding Club"
Vikram,21.0,90.38,Entrepreneurship Cell
Brenda Collins,18.0,84.22,"Entrepreneurship Cell, Sports Club"
Jessica Lee,22.0,73.48,Cultural Club
Ravi,19.0,83.45,"Sports Club, Literary Society"
Brian Martin,18.0,74.19,Literary Society
Rakhi,18.0,89.46,"Coding Club, Robotics"
Anil,23.0,75.79,"Robotics, Literary Society"
Robert Grant,20.0,95.83,Robotics
Carol Martinez,18.0,89.14,Robotics
Mr. Justin King,22.0,64.01,"Robotics, Sports Club"
Anil,19.0,88.73,"Robotics, Coding Club"
Divya,21.0,79.1,Cultural Club
Anil,18.0,81.33,"Sports Club, Coding Club"
Meena,21.0,79.1,Cultural Club
Sonal,19.0,82.6,"Entrepreneurship Cell, Coding Club, Cultural Club"
Divya,21.0,79.1,Cultural Club
Sarah Joseph,21.0,82.13,Entrepreneurship Cell
Arjun,22.0,67.75,"Robotics, Literary Society"
Hailey Harrison,22.0,64.14,"Sports Club, Robotics"
Anita,18.0,61.6,Robotics
Patricia Johnson,23.0,78.25,"Entrepreneurship Cell, Coding Club, Robotics"
Mike Maxwell,19.0,62.56,Sports Club
Rakesh,19.0,68.62,Entrepreneurship Cell
Sandra Drake,22.0,60.33,Robotics
Daniel Holt,22.0,77.04,"Entrepreneurship Cell, Coding Club, Cultural Club"
Amit,18.0,81.33,"Sports Club, Coding Club"
Michael Mills,20.0,78.24,"Entrepreneurship Cell, Coding Club, Cultural Club"
Dustin Nichols,19.0,79.23,"Literary Society, Entrepreneurship Cell"
Rahul,23.0,78.25,"Entrepreneurship Cell, Coding Club, Robotics"
Katie Martinez,22.0,62.36,"Entrepreneurship Cell, Coding Club"
Jerry Wheeler,21.0,72.88,"Robotics, Cultural Club, Literary Society"
Melissa Williams,18.0,79.62,"Coding Club, Entrepreneurship Cell"
Karan,21.0,89.66,Literary Society
Melissa Mcfarland,23.0,86.9,"Literary Society, Cultural Club"
Priya,18.0,96.22,"Sports Club, Literary Society"
Breanna Rivas,18.0,78.43,"Coding Club, Robotics, Entrepreneurship Cell"
Louis Green,20.0,93.69,Coding Club
Raymond Jefferson,19.0,85.52,"Cultural Club, Entrepreneurship Cell"
Rakhi,23.0,80.41,Entrepreneurship Cell
Anita,20.0,73.39,Literary Society
Kavya,18.0,82.59,"Entrepreneurship Cell, Robotics, Cultural Club"
Neha,22.0,98.54,"Cultural Club, Entrepreneurship Cell, Sports Club"
Rahul,18.0,64.11,"Robotics, Coding Club, Cultural Club"
Zachary Schmidt,20.0,97.41,"Cultural Club, Entrepreneurship Cell"
Amit,21.0,61.47,"Robotics, Cultural Club"
Kavya,21.0,65.55,"Entrepreneurship Cell, Sports Club"
Mary Jackson,19.0,80.6,Literary Society
Kavya,19.0,90.3,"Entrepreneurship Cell, Cultural Club"
Rahul,21.0,64.23,"Literary Society, Robotics, Cultural Club"
Jason Hart,19.0,98.39,Sports Club
Rakhi,22.0,95.82,"Cultural Club, Entrepreneurship Cell, Robotics"
Mr. Daniel Martin,21.0,86.43,"Literary Society, Coding Club, Robotics"
Amit,20.0,65.35,Entrepreneurship Cell
Andrea Harrison,20.0,67.47,Literary Society
Sonal,22.0,64.94,"Cultural Club, Coding Club"
Ravi,18.0,60.53,"Literary Society, Robotics"
Kristy Smith,23.0,99.08,"Entrepreneurship Cell, Cultural Club"
Sonal,19.0,69.59,Coding Club
Meena,19.0,80.6,Literary Society
Austin Walker,20.0,78.34,"Coding Club, Sports Club, Literary Society"
Shannon Joseph,21.0,79.1,Cultural Club
Karan,22.0,95.9,"Sports Club, Entrepreneurship Cell, Coding Club"
Meena,18.0,90.39,Entrepreneurship Cell
Rahul,23.0,79.06,"Coding Club, Entrepreneurship Cell, Sports Club"
Arjun,21.0,89.0,"Cultural Club, Sports Club"
Ryan Parker,18.0,79.88,"Coding Club, Cultural Club, Literary Society"
Denise Whitehead,23.0,93.35,"Sports Club, Coding Club, Literary Society"
Pooja,18.0,64.11,"Robotics, Coding Club, Cultural Club"
Daniel Taylor,18.0,60.53,"Literary Society, Robotics"
Angel Ellis,19.0,74.35,"Literary Society, Coding Club, Robotics"
Raymond Chapman,23.0,73.59,"Entrepreneurship Cell, Robotics, Coding Club"
Pooja,18.0,70.75,"Robotics, Cultural Club, Sports Club"
Ellen Wright,20.0,63.29,"Sports Club, Robotics"
Daniel Schneider,18.0,93.96,Sports Club
Siddharth,21.0,67.17,"Robotics, Cultural Club"
Rakesh,20.0,73.64,"Coding Club, Entrepreneurship Cell, Literary Society"
Brandon Hamilton,23.0,81.77,"Literary Society, Entrepreneurship Cell, Robotics"
Briana Murray,21.0,68.05,"Cultural Club, Entrepreneurship Cell, Robotics"
Ashley Parrish,22.0,61.68,"Robotics, Entrepreneurship Cell"
Dawn Underwood,18.0,78.56,"Literary Society, Sports Club, Robotics"
Ryan Sanchez,19.0,70.78,"Robotics, Sports Club"
Anil,21.0,81.52,"Robotics, Entrepreneurship Cell"
Anil,19.0,94.04,Coding Club
Divya,20.0,77.43,"Literary Society, Sports Club, Robotics"
Lisa Hernandez,20.0,74.98,"Robotics, Literary Society, Coding Club"
Divya,21.0,76.52,"Robotics, Literary Society"
Rita Keith,21.0,68.72,"Sports Club, Cultural Club, Coding Club"
Howard Norman,23.0,60.04,Literary Society
Regina Diaz,21.0,62.32,"Entrepreneurship Cell, Sports Club"
Joseph Park,19.0,96.39,"Cultural Club, Sports Club, Robotics"
Rahul,23.0,93.37,"Robotics, Sports Club, Literary Society"
Divya,23.0,71.18,"Robotics, Coding Club, Cultural Club"
Hannah Ramos,21.0,89.49,Sports Club
Kimberly May,19.0,99.38,"Sports Club, Coding Club"
Ramya,19.0,93.99,"Coding Club, Robotics"
Christina Brooks,18.0,82.59,"Entrepreneurship Cell, Robotics, Cultural Club"
Jason Lynn Jr.,23.0,99.8,"Entrepreneurship Cell, Sports Club, Literary Society"
Alex Willis,22.0,69.89,"Literary Society, Coding Club"
Amit,23.0,99.85,"Entrepreneurship Cell, Literary Society, Sports Club"
Vikram,23.0,69.94,"Cultural Club, Robotics"
Siddharth,21.0,63.18,Sports Club
Brenda Hinton,19.0,72.05,"Sports Club, Coding Club"
Anthony Gray,19.0,93.24,"Sports Club, Entrepreneurship Cell"
Suresh,21.0,75.0,"Coding Club, Entrepreneurship Cell"
Daniel Shields,23.0,65.59,"Sports Club, Robotics"
Anita,22.0,64.46,Coding Club
Brian Bruce,18.0,71.33,"Robotics, Cultural Club, Literary Society"
Rahul,19.0,90.2,Cultural Club
Pooja,22.0,73.83,"Cultural Club, Robotics"
Neha,23.0,93.37,"Robotics, Sports Club, Literary Society"
Ashley Smith,21.0,84.97,Coding Club
Anil,21.0,74.41,"Sports Club, Literary Society, Robotics"
Cheryl Lopez,23.0,90.18,"Coding Club, Literary Society, Sports Club"
Rahul,20.0,95.58,"Sports Club, Coding Club"
Jason Herrera,23.0,71.6,Entrepreneurship Cell
Brittany Stevens,23.0,69.0,"Entrepreneurship Cell, Coding Club"
Karan,21.0,73.54,Coding Club
Robert Jarvis,19.0,95.62,"Sports Club, Robotics, Entrepreneurship Cell"
Mrs. Heather Edwards DVM,22.0,84.13,Literary Society
Anil,21.0,73.41,"Literary Society, Robotics, Sports Club"
Stephen Sanchez,19.0,75.64,"Cultural Club, Entrepreneurship Cell, Coding Club"
Katherine Galloway,22.0,93.75,Entrepreneurship Cell
Meena,21.0,72.84,"Literary Society, Entrepreneurship Cell, Sports Club"
William Mendez,18.0,89.6,Cultural Club
Anil,18.0,62.79,Cultural Club
Priya,23.0,95.82,Cultural Club
Emma Reed,23.0,67.38,"Cultural Club, Entrepreneurship Cell, Literary Society"
Meena,21.0,70.83,"Cultural Club, Literary Society"
Adam Taylor,18.0,62.4,"Cultural Club, Robotics, Coding Club"
Rahul,23.0,99.8,"Entrepreneurship Cell, Sports Club, Literary Society"
Vikram,21.0,69.03,"Robotics, Entrepreneurship Cell"
William Moreno,23.0,86.2,Robotics
John Lynch,23.0,84.81,"Robotics, Coding Club"
Divya,20.0,85.39,"Coding Club, Entrepreneurship Cell, Robotics"
Meena,22.0,62.5,"Sports Club, Robotics, Literary Society"
Kevin Pena,22.0,95.15,"Literary Society, Sports Club, Cultural Club"
Arjun,21.0,95.6,"Coding Club, Literary Society, Sports Club"
Taylor Heath,18.0,83.37,"Cultural Club, Literary Society"
Siddharth,23.0,76.12,"Literary Society, Sports Club, Cultural Club"
Anil,20.0,60.28,Robotics
Divya,21.0,77.13,"Entrepreneurship Cell, Literary Society"
Emily Bailey,19.0,70.6,"Entrepreneurship Cell, Robotics"
Leslie Kane,22.0,74.76,"Robotics, Sports Club"
Carlos King,20.0,89.07,"Literary Society, Sports Club, Cultural Club"
Neha,22.0,84.13,Literary Society
Ravi,18.0,70.1,"Cultural Club, Robotics"
Amit,22.0,68.08,"Literary Society, Entrepreneurship Cell, Coding Club"
Jose Ramirez,18.0,78.54,"Coding Club, Cultural Club"
Arjun,23.0,79.06,"Coding Club, Entrepreneurship Cell, Sports Club"
Arjun,22.0,79.41,Entrepreneurship Cell
Divya,21.0,76.28,"Robotics, Entrepreneurship Cell"
Barbara Todd,19.0,85.51,"Entrepreneurship Cell, Robotics"
Ruben Price,21.0,61.1,"Cultural Club, Entrepreneurship Cell, Sports Club"
Anil,18.0,78.54,"Coding Club, Cultural Club"
Nicole Parrish,21.0,95.6,"Coding Club, Literary Society, Sports Club"
Sonal,21.0,84.72,Cultural Club
Rakhi,21.0,76.78,"Sports Club, Literary Society, Robotics"
Seth Matthews,18.0,90.39,Entrepreneurship Cell
Karan,23.0,73.01,"Coding Club, Literary Society, Cultural Club"
Siddharth,19.0,88.38,Entrepreneurship Cell
Sandra Aguilar,23.0,73.37,"Cultural Club, Sports Club, Literary Society"
Amanda Jones,21.0,89.22,Coding Club
Neha,21.0,74.41,"Sports Club, Literary Society, Robotics"
Natalie Lambert,22.0,98.26,"Sports Club, Robotics"
Samantha Pollard,22.0,75.59,"Literary Society, Robotics, Coding Club"
Rahul,23.0,84.81,"Robotics, Coding Club"
Rakhi,20.0,66.62,Cultural Club
Vikram,23.0,61.4,"Cultural Club, Robotics, Coding Club"
Siddharth,22.0,69.89,"Literary Society, Coding Club"
Nicholas Costa,22.0,68.27,"Coding Club, Sports Club, Entrepreneurship Cell"
Eric Ferguson,18.0,70.75,"Robotics, Cultural Club, Sports Club"
Kurt Leonard,18.0,69.01,"Cultural Club, Sports Club"
Rahul,23.0,89.24,"Coding Club, Sports Club, Literary Society"
Rahul,20.0,77.43,"Literary Society, Sports Club, Robotics"
Mr. Richard Knight PhD,19.0,77.89,Coding Club
Brian Turner,19.0,96.13,"Literary Society, Cultural Club, Sports Club"
Jason Bentley,18.0,65.18,"Entrepreneurship Cell, Robotics, Sports Club"
Amit,22.0,60.26,"Literary Society, Robotics"
Meena,21.0,70.45,"Literary Society, Robotics"
Mason Lewis,18.0,76.4,"Literary Society, Entrepreneurship Cell, Sports Club"
Rahul,18.0,87.66,"Literary Society, Sports Club, Cultural Club"
Ramya,18.0,77.85,"Sports Club, Entrepreneurship Cell, Coding Club"
Anil,18.0,76.12,"Coding Club, Literary Society, Sports Club"
James Nelson,19.0,76.18,"Robotics, Cultural Club, Literary Society"
Joseph Martinez,19.0,88.33,Robotics
Neha,21.0,67.17,"Robotics, Cultural Club"
Rakhi,20.0,66.09,Robotics
Arjun,23.0,69.0,"Entrepreneurship Cell, Coding Club"
Randy Barr,19.0,84.79,Literary Society
Rakesh,22.0,89.83,"Coding Club, Robotics, Literary Society"
Juan Greene,20.0,94.71,Entrepreneurship Cell
Vikram,23.0,62.65,"Sports Club, Cultural Club"
Priya,20.0,67.03,"Coding Club, Robotics"
Ramya,21.0,79.66,"Entrepreneurship Cell, Literary Society, Coding Club"
Arjun,19.0,70.6,"Entrepreneurship Cell, Robotics"
Sarah Moore,19.0,83.37,"Coding Club, Literary Society, Sports Club"
Pooja,23.0,66.73,"Entrepreneurship Cell, Coding Club"
Mark Mccall,19.0,80.69,"Cultural Club, Literary Society, Entrepreneurship Cell"
Donna Hendricks DDS,22.0,92.82,"Entrepreneurship Cell, Cultural Club, Sports Club"
Joseph Carney,18.0,87.31,"Literary Society, Robotics, Entrepreneurship Cell"
David Kelly,21.0,71.69,"Literary Society, Robotics"
Karan,23.0,60.58,Robotics
Sabrina Barnes,19.0,92.43,"Coding Club, Sports Club"
Priya,22.0,84.05,Coding Club
Joshua Roberts,22.0,79.3,Robotics
Michelle Miller,19.0,68.62,Entrepreneurship Cell
Rebecca Yu,19.0,61.61,Coding Club
Anil,21.0,63.31,"Sports Club, Robotics, Entrepreneurship Cell"
Patrick Yang,20.0,75.89,Entrepreneurship Cell
Mikayla Silva,18.0,77.75,Cultural Club
Kavya,18.0,72.13,"Sports Club, Literary Society"
Norman Gibbs,20.0,91.9,Robotics
Sandra Scott,21.0,71.14,Coding Club
Anita,22.0,60.04,"Robotics, Entrepreneurship Cell"
Rakesh,22.0,75.66,"Entrepreneurship Cell, Robotics, Coding Club"
Ramya,18.0,65.82,"Robotics, Sports Club"
Phillip Berry,19.0,66.88,"Literary Society, Sports Club"
Anil,22.0,63.39,"Sports Club, Cultural Club, Robotics"
Michael Thompson,19.0,88.73,"Robotics, Coding Club"
Gregory Franco,18.0,89.93,"Literary Society, Entrepreneurship Cell, Robotics"
Siddharth,23.0,65.54,Sports Club
William Evans,23.0,77.21,"Sports Club, Coding Club"
Divya,21.0,63.35,"Coding Club, Cultural Club, Entrepreneurship Cell"
Neha,21.0,78.31,Literary Society
Kimberly Smith,23.0,94.48,"Literary Society, Robotics, Cultural Club"
Gregory Matthews,21.0,79.66,"Entrepreneurship Cell, Literary Society, Coding Club"
Carol Ellis,20.0,73.45,"Entrepreneurship Cell, Robotics"
Rakesh,23.0,88.84,"Robotics, Literary Society"
Pooja,18.0,79.98,"Robotics, Literary Society"
Joshua Gill,18.0,75.04,"Cultural Club, Sports Club, Robotics"
David Williams,22.0,95.9,"Sports Club, Entrepreneurship Cell, Coding Club"
Rahul,18.0,90.11,"Literary Society, Robotics"
Rahul,21.0,91.45,Robotics
Kavya,20.0,63.54,Coding Club
Pooja,18.0,98.98,Sports Club
Ashley Greer PhD,19.0,68.61,Coding Club
Monica Gallagher,22.0,61.42,Sports Club
Matthew Baker,18.0,71.87,Coding Club
Jesse Santiago,21.0,89.0,"Cultural Club, Sports Club"
Michael Holloway,20.0,73.52,Robotics
Amy Garcia,20.0,69.78,"Cultural Club, Literary Society"
Karan,21.0,95.6,"Coding Club, Literary Society, Sports Club"
John Harris,23.0,69.94,"Cultural Club, Robotics"
Arjun,18.0,60.53,"Sports Club, Robotics, Coding Club"
Holly Valentine,19.0,61.09,"Literary Society, Robotics, Coding Club"
Anita,21.0,92.29,"Sports Club, Coding Club"
Pooja,19.0,65.99,"Entrepreneurship Cell, Literary Society, Sports Club"
Alexander Lee,23.0,74.06,"Literary Society, Sports Club"
Anil,22.0,85.67,"Entrepreneurship Cell, Literary Society"
Kavya,22.0,96.01,"Literary Society, Cultural Club"
Kavya,19.0,80.5,"Robotics, Coding Club, Cultural Club"
Kathleen Cohen,21.0,83.42,"Entrepreneurship Cell, Literary Society"
Arjun,18.0,75.09,"Sports Club, Cultural Club"
Ramya,18.0,71.84,"Sports Club, Cultural Club"
Arjun,22.0,84.05,Coding Club
Ravi,19.0,98.66,"Cultural Club, Entrepreneurship Cell"
Steven Washington,23.0,88.66,"Cultural Club, Sports Club, Coding Club"
Ashley Davis,18.0,61.25,"Coding Club, Robotics, Sports Club"
Ramya,22.0,92.31,"Sports Club, Literary Society"
Divya,21.0,67.47,"Literary Society, Entrepreneurship Cell"
Lawrence Wilkinson,22.0,98.78,"Coding Club, Sports Club, Cultural Club"
Laura Diaz,22.0,99.03,"Literary Society, Cultural Club, Entrepreneurship Cell"
Rahul,23.0,88.3,"Robotics, Entrepreneurship Cell, Coding Club"
Suzanne Jones,20.0,64.15,"Coding Club, Robotics"
Neha,23.0,98.79,Literary Society
Priya,23.0,88.3,"Robotics, Entrepreneurship Cell, Coding Club"
Suresh,22.0,99.03,"Literary Society, Cultural Club, Entrepreneurship Cell"
Tiffany Murray,23.0,88.09,Entrepreneurship Cell
Lisa Stanley,19.0,98.92,Literary Society
Scott Sanchez,18.0,89.39,"Cultural Club, Sports Club, Robotics"
Kristin Black,19.0,72.08,"Cultural Club, Coding Club, Sports Club"
Amit,23.0,66.73,"Entrepreneurship Cell, Coding Club"
Priya,21.0,89.66,Literary Society
Sandy Stephenson,18.0,73.66,Literary Society
Timothy Mathews,20.0,72.53,Coding Club
Jocelyn Sharp,18.0,71.32,Robotics
Sabrina Briggs,20.0,86.17,"Entrepreneurship Cell, Robotics"
Patricia Todd,20.0,89.94,"Literary Society, Coding Club, Robotics"
Angela Vasquez,19.0,84.92,"Sports Club, Coding Club, Entrepreneurship Cell"
Aaron Arnold Jr.,20.0,98.41,"Sports Club, Cultural Club, Coding Club"
Sonal,19.0,62.4,"Coding Club, Entrepreneurship Cell, Sports Club"
Ramya,22.0,62.5,"Sports Club, Robotics, Literary Society"
Kathleen Mays,22.0,97.91,Cultural Club
Kavya,23.0,79.06,"Coding Club, Entrepreneurship Cell, Sports Club"
Rakhi,21.0,75.0,"Coding Club, Entrepreneurship Cell"
William Jackson,21.0,92.29,"Sports Club, Coding Club"
Tina Fleming,20.0,76.59,Entrepreneurship Cell
Vikram,22.0,60.77,"Sports Club, Robotics"
David Moreno,19.0,96.52,"Entrepreneurship Cell, Coding Club, Robotics"
Larry Dixon,20.0,85.04,Entrepreneurship Cell
Rahul,18.0,62.4,"Cultural Club, Robotics, Coding Club"
Christopher Lewis,20.0,93.92,Entrepreneurship Cell
Jaclyn Moore,19.0,95.76,"Entrepreneurship Cell, Cultural Club, Coding Club"
Heather Sanders,20.0,69.28,Coding Club
Sonal,19.0,70.26,"Cultural Club, Entrepreneurship Cell"
Samuel Ruiz,20.0,78.01,Robotics
Chloe Tran,23.0,61.27,"Entrepreneurship Cell, Coding Club, Literary Society"
Rakesh,22.0,85.02,Cultural Club
Melissa Martin,22.0,86.0,"Sports Club, Robotics, Coding Club"
Rahul,21.0,99.96,"Literary Society, Entrepreneurship Cell"
Priya,20.0,89.66,"Sports Club, Coding Club"
Amit,19.0,69.59,Coding Club
Pooja,20.0,91.76,Entrepreneurship Cell
Karan,21.0,72.84,"Literary Society, Entrepreneurship Cell, Sports Club"
Neha,21.0,77.43,"Robotics, Entrepreneurship Cell"
Juan Brown,21.0,81.11,"Sports Club, Literary Society, Robotics"
Meena,21.0,77.94,"Cultural Club, Coding Club"
Arjun,19.0,70.69,"Literary Society, Coding Club"
Barry Scott,21.0,87.92,"Sports Club, Literary Society, Entrepreneurship Cell"
Rakhi,23.0,99.88,"Entrepreneurship Cell, Sports Club"
Karan,21.0,75.63,"Sports Club, Coding Club, Robotics"
Siddharth,22.0,61.81,"Coding Club, Sports Club"
Anna Evans,18.0,98.98,Sports Club
Lori Simmons,22.0,92.51,"Sports Club, Robotics"
Anil,21.0,92.3,"Literary Society, Coding Club, Cultural Club"
Willie Henry,19.0,97.27,"Literary Society, Robotics"
Susan Turner,20.0,66.09,Robotics
Sonal,19.0,70.26,"Cultural Club, Entrepreneurship Cell"
Donald Ellis,20.0,76.71,Literary Society
Priya,20.0,72.73,"Coding Club, Sports Club"
Sierra Vasquez MD,22.0,72.22,Literary Society
Jeffery Pierce,18.0,72.11,Cultural Club
Kavya,22.0,83.72,"Entrepreneurship Cell, Sports Club"
Jonathan Moreno,21.0,65.93,Coding Club
Ravi,21.0,68.69,"Cultural Club, Coding Club"
Bobby Williams MD,21.0,69.47,Literary Society
Siddharth,22.0,62.36,"Entrepreneurship Cell, Coding Club"
Cristian Santos,18.0,80.8,"Cultural Club, Coding Club, Robotics"
Ravi,20.0,89.64,"Literary Society, Robotics"
Arjun,22.0,64.0,"Robotics, Cultural Club"
Suresh,18.0,87.31,"Literary Society, Robotics, Entrepreneurship Cell"
Elizabeth Cabrera,22.0,65.94,"Literary Society, Entrepreneurship Cell"
Amit,19.0,89.21,"Literary Society, Coding Club, Entrepreneurship Cell"
Anita,22.0,74.51,Literary Society
Ashley Wilson,19.0,78.62,Robotics
